Z1_0	Z1_1	Z1_2	Z1_3	Z1_4	Z1_5	Z1_6	Z1_7	Z1_8	Z1_9	Z1_10	Z1_11	Z1_12	Z1_13	Z1_14	Z1_15	Z1_16	Z1_17	Z1_18	Z1_19	Z1_20	Z1_21	Z1_22	Z1_23	Z1_24	Z1_25	Z1_26	Z1_27	Z1_28	Z1_29	Z1_30	Z1_31
-2.813214	0.37498587	2.6950672	-1.1433523	1.7742589	-0.27561527	2.0683172	-0.8531475	1.9783468	-0.5667732	-0.098485455	-2.3454976	2.4615378	-1.271052	0.60440034	-2.728234	-0.73680955	0.053817112	-1.0156207	-1.4349427	-1.2986875	3.1465912	3.0115175	-0.8905395	-0.27761924	0.05691367	-0.24135324	2.575812	1.4609915	-0.24034691	-1.0787745	-1.481903
-1.9321009	0.560066	2.8731682	-1.5004468	1.7823344	-0.079128005	1.8299887	-0.4782908	0.8220057	-0.70569205	-0.42394888	-2.0492496	1.8714876	-2.018932	0.04135487	-1.598934	-0.20773804	0.009269686	-0.61279064	-1.2999122	-1.6540912	2.762796	1.7345945	-0.8596463	-0.6334047	0.11663418	-0.10508734	0.71188265	1.4228407	-0.6262721	-1.423155	-1.5404088
-0.47283384	-0.99580926	-1.9056656	-0.5350952	-1.1526937	-2.3220963	-0.95003414	2.910201	0.93346024	-0.3206986	-1.0568371	-0.8413158	-1.1996446	-1.8752007	-0.66347903	-2.1696308	-1.1031665	1.0026978	-0.47509333	0.17386432	-2.2252517	-0.4884384	0.47302336	1.6325433	0.38977084	0.30642518	0.3380832	-0.913823	-0.5882518	2.1880045	-0.3435231	2.4187546
0.36881706	0.04474879	-1.3688238	-0.6592089	-0.49345174	-1.94362	-1.0853553	2.2753315	0.33068976	-0.61988556	-0.27540267	-0.5755028	-0.59222424	-2.757875	-1.2782768	-1.5603257	0.42737085	0.554238	0.37481567	0.7201225	-1.6944281	-0.40768987	0.049116224	2.516806	-0.6822627	0.7407684	-0.7377131	-1.4019028	-0.81114304	1.3891087	-0.7133261	3.2383327
-1.2672032	-0.8122105	0.04158912	-1.845482	-0.5341153	-0.7550729	-0.07124849	1.0786726	0.2777872	0.13753062	-1.5535306	-1.1663451	1.225216	-0.7350168	-0.11431688	-2.1071057	-0.31819645	-0.039091777	-0.039579876	0.25330728	-0.5831214	0.29223725	1.6330575	0.7280781	-0.6481572	0.8879354	-0.96582913	0.61630785	0.08430421	0.8525323	-1.3902092	1.3069859
-0.83526826	-0.40275413	-1.639426	-0.6316695	-0.1861454	-1.4525216	-1.7247165	2.7906768	1.0712035	-0.23632908	-1.5544235	0.055983886	-0.9239948	-2.161952	-0.6466674	-1.9101356	0.46210808	0.75618994	0.0010479484	0.037471116	-2.563673	-0.88188314	0.36842108	2.6157043	0.39623156	0.983994	-0.37852573	-1.0650785	-0.7111763	1.9912841	-0.33683497	3.093182
-2.5340884	0.36626974	3.6768134	-1.6075006	1.831	-0.14758307	2.908574	-0.86192334	1.3993405	-0.43821552	-0.2135539	-1.8593984	2.4039042	-1.5017567	0.43978402	-3.0916083	-0.6020214	-0.78201926	-0.19058323	-1.9743458	-1.8733431	3.3714209	2.9470239	-0.7466767	-0.16113627	-0.90090185	-0.3652519	1.3799126	1.4136602	-0.3213444	-1.1803409	-1.8055573
-2.12878	-0.958657	2.842604	-1.89706	1.1775321	-0.17631164	1.9721146	-1.5032153	0.47228804	-0.5343943	-0.5166707	-1.3245745	1.2619995	-0.9212579	0.84766	-2.603635	-0.622631	-1.4379297	0.006713221	-1.4146543	-1.75849	2.4917104	2.934751	-0.9256946	-0.8997606	-0.128641	-1.0508486	2.1429315	0.99344784	-0.5219073	-1.6552675	-1.6230824
-0.9192864	-0.32505623	0.79605174	-1.8044156	0.11180946	-0.91235316	1.2803624	0.88737226	1.0865535	-1.2312994	-0.87023246	0.21390235	-0.076573655	-1.4537635	1.1923287	-1.2693653	-0.42202637	0.9494507	-0.0377227	-0.63930535	-2.1777167	1.3869603	1.4364338	0.43669084	-0.8690756	0.44768637	0.06320372	0.63736415	1.316794	0.35826156	0.35367686	1.0892417
-0.7917801	-1.5912378	0.32423332	-1.5642148	0.48557517	-1.0057094	0.32524285	0.790174	0.64755243	0.18818536	-0.753012	0.5384313	-0.6375456	-2.2036498	-0.062064838	-0.015447151	0.68329984	-0.10966738	0.14633773	-1.0721223	-1.8584739	0.0889464	-0.08981168	0.57469475	-0.46153906	0.7193145	-0.97633886	0.062320244	1.0387429	1.9022727	0.2262011	0.71485853
-1.9213696	-0.9960947	-0.71247923	-1.7082036	0.784243	-0.5257811	-0.68796295	1.5206021	1.1369033	0.36117837	-1.6555918	-0.35972598	0.20683482	-2.1594875	-0.65024406	-2.2187722	-0.49266165	0.4915754	0.074068844	0.6945794	-1.4800959	-0.51376987	0.23787755	0.12487456	0.27373353	0.46298078	0.8465148	-0.070610926	-0.85260236	0.6176452	0.6995789	1.7805202
0.13701673	-1.0954179	-0.6561096	-1.6609948	-0.28510126	-1.0910543	-0.14202346	0.30147016	0.5859258	-0.4166584	-0.64055073	-0.34740245	-0.45474118	-1.1821532	0.15478691	-1.7050325	-0.6236549	0.3220339	-0.47102514	-0.58721614	-0.9678069	0.760616	0.95951176	0.66011846	-0.77808005	0.5418355	-0.90664655	0.92060447	-0.9775374	0.45699528	-0.59095573	1.0873146
-0.18504298	-0.16915657	-1.1983681	-0.70557123	-0.46085113	-1.1132162	-0.5368418	1.7547457	-0.06126386	0.36987886	-0.28638136	0.67256576	-0.19491124	-1.8072431	-0.08878134	-1.0010483	-1.3153988	0.587354	-0.41644016	-0.2841019	-1.9203869	-0.6489139	0.6020435	1.4303113	0.83932525	0.41633493	-0.592531	-0.06551431	-0.067598	1.3299382	-0.91902554	2.58823
-1.8165115	0.65739715	2.3309605	-2.1191642	1.5967971	-0.508132	1.5530646	-0.26640925	1.8138955	-0.45612022	0.039503995	-2.4115083	2.9279807	-1.927	0.6903092	-1.7290816	-1.04996	-0.21462609	-0.7773555	-1.8096372	-2.1530366	3.2983654	2.5369492	-1.1589869	-0.6848674	-0.38999957	0.17848226	2.2467625	1.8857291	-0.61840624	-0.47296643	-1.05486
-2.354008	0.16285278	3.0187714	-1.9046028	1.6733854	-0.4368699	2.590843	-0.396789	1.5553856	-0.08977458	-0.6045512	-1.5193088	2.3023398	-0.7694851	0.5275799	-2.1363046	-1.0010619	-0.11875753	-0.5111916	-2.1110196	-2.621695	3.4196033	2.5559568	-1.3480766	-1.0021803	0.240004	-0.7032831	2.4271495	1.638775	-0.9587564	-1.0179263	-1.6119833
-0.23394406	-0.3202306	-9.190291e-05	-0.54549533	-0.39308032	0.16818038	-0.6079448	1.7856723	1.4949055	0.051138632	-0.1672593	-0.6112051	0.60055774	-1.7035174	-0.3656923	-2.3906217	-0.95970625	0.7852525	0.3317484	1.2187747	-1.8451554	-0.4571812	0.03626836	1.3549995	0.19021103	0.37085333	-0.5234947	-0.7183946	-0.7114836	1.6257957	0.35351378	1.3697922
-2.330823	0.4916895	3.7931144	-1.9919077	2.1535113	0.070563234	2.9124773	-0.8574622	1.0047498	-0.35925716	-0.59901094	-2.2680657	2.4058373	-1.2660676	0.38547418	-3.1117094	-0.78597313	-0.20374797	-0.61393124	-2.229063	-2.2046943	3.6320844	2.5821066	-0.96438146	-1.0732781	-0.7652768	-0.45406294	2.0206854	1.4997678	-0.9796179	-0.8130455	-2.1981308
-2.1613245	0.07836772	0.56554544	-1.5602664	0.94214356	-0.35914126	1.5276251	-0.57434356	1.7960563	-0.46168897	-0.4119602	-0.39014646	1.3517864	-1.2925028	-0.11878914	-1.0424771	-1.2491664	-0.19193412	-0.40546653	-1.2854626	-2.528503	1.8473337	1.660152	-1.0162305	-0.39703584	-0.02308776	0.3370535	1.8701682	0.31707683	-0.5039913	-0.8598732	-0.33237192
-1.0730133	0.16845301	-0.4666806	-0.6803013	-1.0181197	-1.7111783	-0.6614369	1.4107369	-0.032713264	-0.7355849	-1.0716255	-0.243299	-0.3765329	-2.1736662	-0.3090843	-1.4073218	-1.0069188	0.052773166	0.04989604	-0.6701832	-1.867861	-0.028417885	-0.8136527	1.5256556	-1.2389833	1.0262852	0.4946455	-0.37233794	0.082902744	0.21839315	0.14563102	2.9766853
-2.0555532	-0.7391853	2.630194	-1.7211187	1.5319831	-0.99063224	2.295085	-1.1593583	0.65972614	-0.71125054	-0.5379292	-1.8297896	1.9639548	-1.391943	0.074863285	-2.1519732	-1.311072	-1.1137791	-0.05270689	-1.8115181	-1.5533884	2.673063	2.9834337	-1.2823353	-0.71720463	-0.17653775	-0.43127495	2.3810718	1.5933648	-0.20426533	-1.3744276	-1.3761542
-0.48599777	-0.6487472	-1.5130957	-1.4765583	-0.6654727	-1.4053254	-1.6715627	1.7423042	0.66582215	-0.8925822	-0.50997704	0.3793656	-0.35885382	-1.3322828	-0.05166958	-0.5055804	-0.69659287	0.8370788	0.062841035	-0.03572236	-1.8776776	-0.5584321	0.5486754	1.5484767	-0.046336286	0.38253847	-0.8606494	-1.1594402	-0.13742098	1.4518402	-0.87687045	2.1113122
-1.922011	-0.4771988	1.4787716	-1.7906696	1.3275405	-0.5983291	1.5101409	-0.62529635	0.9475482	-0.17644325	-1.2573943	-1.0841141	1.0460079	-0.6377493	0.13011089	-1.7434955	-0.7641838	0.29467282	0.2722319	-0.87101555	-0.20284803	1.4899542	0.9753763	-1.0864481	-1.5443493	-0.9235977	1.0068061	2.01611	0.4229091	-0.116531916	-1.2166221	-1.1297829
-0.95843756	-0.35211858	-2.3183048	-0.764385	-0.6624465	-1.6004354	-0.61124426	2.6525128	1.0866234	-0.06479118	-1.001504	-0.7737023	-0.67599064	-2.3113184	-1.5866705	-2.6442654	-1.0240703	1.5159405	0.5601223	0.73505604	-1.003525	-1.1253576	-0.31056607	1.8061289	0.7561693	0.21013471	-0.22522563	-0.89787614	-0.9654999	1.7613623	-0.6541857	3.5417426
-2.7230308	-0.091355704	3.197108	-1.9516304	2.1313531	-0.29656658	3.093609	-0.9417535	1.7656167	-0.21672562	-0.8085124	-1.9508898	2.3287857	-0.47219017	0.44724432	-2.8174741	-1.1929897	-0.66816825	-0.35132974	-2.19793	-2.129219	3.6361897	2.822115	-1.4519686	-0.55556613	-0.61921054	0.036812395	2.6509345	1.6172851	-0.9089629	-1.1534644	-1.8934515
-2.952158	-0.045646332	3.0278106	-1.6273917	2.506072	-0.4703351	3.3031209	-1.3503628	1.8839377	-0.19184968	-0.64234906	-2.0340462	2.0469577	-0.74230987	0.49609816	-3.2803948	-1.127209	0.3797636	-0.7300698	-2.171094	-2.028193	3.7151718	2.7294817	-1.1760123	-1.0021414	-0.89266026	-0.2057696	3.3317223	1.6523584	-0.52038157	-0.81340003	-1.3692615
-0.7929374	-0.2548696	-1.9993415	-0.65003926	0.6512062	-2.1847699	-1.1353195	2.1332607	0.05437118	-0.7034906	-0.772946	-1.3360245	-0.47644114	-2.685203	-1.5727756	-2.150088	-0.07220436	1.0878894	0.5362923	0.43983823	-0.5129615	-1.684768	0.39872876	1.5409908	-0.49680132	-0.39816862	-0.12035388	-1.7051373	-1.7979786	1.4660038	-1.2787776	2.6498432
-0.34502742	-0.27084574	-1.3040929	-0.38413143	-0.021006737	-1.8122592	-0.33646667	1.9917367	0.29164475	-0.58404785	-0.5450709	-0.5042685	-0.8080047	-1.001296	-1.2829225	-1.9385355	-0.13991308	0.5323954	0.30756837	0.7324739	-1.8948948	-0.8535996	0.04128802	2.412629	-0.44049612	0.7708219	0.095976785	-1.3269682	-0.43069294	1.4719437	-0.5532237	2.9998143
-3.3236175	0.14286487	2.187819	-1.3759142	1.6210288	0.14196652	2.5240405	-0.93118477	1.2608303	-0.65713274	-0.53093314	-2.3808625	2.1042376	0.025431246	0.5453344	-2.605303	-1.4668019	-0.42638847	-0.702735	-0.6183581	-1.685454	2.6698277	2.0864701	-0.89028907	-0.44330117	-0.31423283	-0.23431107	2.066042	0.5733175	-0.5628018	-0.7812401	-2.0123732
-2.2912254	0.1366037	3.4118655	-2.0996864	0.5912477	-0.30404857	2.1416152	-0.7399468	0.6110964	-0.99544215	-0.68966067	-1.811954	2.2450998	-0.77149177	1.036782	-1.9267507	-0.5451572	0.03516819	0.42016903	-1.1415055	-1.0889237	2.7713583	1.5764309	-1.3179337	-1.1060472	-0.1676995	-0.017050788	1.8848746	1.1102825	-1.5766386	-0.7426106	-1.9398928
-1.9719535	-0.0462301	3.5158432	-1.3065511	1.9932088	-0.19906464	2.7197104	-0.37003368	0.88546336	-0.8591174	-0.54178596	-1.5920339	2.5451677	-0.99228394	0.8140612	-3.5202072	-0.9944561	-0.71734315	-0.6245329	-1.3824158	-1.7215704	3.2547448	2.8576927	-1.2842044	-1.4804227	-0.30968177	-0.25773597	2.1395352	1.7438006	-0.72294235	-1.2636971	-1.641194
-2.206899	-0.1377991	2.68033	-1.4985646	2.2574499	-0.42578265	2.546174	-0.7866403	0.23369847	-0.3272111	0.17884931	-1.3564754	1.4423275	-1.3433257	0.41893986	-1.9280778	-0.8858094	-0.34597424	-0.41860875	-1.2117279	-1.4490728	2.1696658	1.4963481	-1.4904649	-1.2430965	-0.626975	0.6769774	1.5850817	1.618694	-0.19492239	-0.1229129	-2.0248394
-1.2019655	0.5806973	2.0754702	-0.52245396	0.934244	-0.92153007	0.49269405	0.88268924	-1.1032846	-0.6973716	-1.2392994	-1.8321886	1.106584	-0.75957793	-0.0793823	-2.5823143	-0.7726896	-0.86122483	-0.24451356	-0.61923885	-1.4440045	1.8060141	1.1368423	0.6535475	-0.81231403	0.21871343	-0.08414927	-0.19814126	0.65681005	-0.11736158	-1.2212555	-0.2865944
-1.3743385	-0.800954	-0.6873933	-0.7723777	-0.76720417	-2.0866807	-0.89953566	2.5016003	0.5019753	-1.151798	-0.970392	0.04208088	-1.0843636	-2.7714143	0.754247	-1.0901842	0.050246023	0.42375016	0.07260831	0.9080008	-1.6285464	-1.1389413	-0.34244224	2.0572577	-0.29439154	-0.12804808	0.037484705	-0.42659277	-0.30850455	1.1263726	-0.6116873	2.1213028
0.097501755	0.13014387	-1.7142308	-0.8337546	-0.49404988	-1.7866626	-1.1729914	2.0024393	0.40509826	-1.3771309	-0.51491034	0.17656595	-1.3518238	-1.9206225	-0.4259845	-0.23140961	-0.2532968	0.98435235	0.49417973	0.08955954	-1.6093892	-0.61565113	-0.35944033	2.5484064	0.0037463903	0.061833695	-0.98568296	-0.8399743	-0.19670093	1.2758049	-1.4156935	2.7587085
-2.8655887	0.9281183	3.0807767	-1.6430849	2.6803713	-0.6810979	2.3403304	-1.1360978	1.9469678	-0.015011616	-0.93489563	-2.196317	2.2226293	-0.9780223	0.23893319	-2.923517	-0.58550656	0.026437419	-0.5976776	-1.9624735	-1.6713802	3.5945964	2.8029332	-1.2436986	-0.7837231	-0.9281122	-0.09038307	2.86153	2.1288068	-0.4839982	-1.0758641	-1.7997589
