ID	Gene_01	Gene_02	Gene_03	Gene_04	Gene_05	Gene_06	Gene_07	Gene_08	Gene_09	Gene_10
DEMO038	-0.16336	0.85571	0.62275	-0.14619	0.49174	-1.12085	-0.11368	0.61180	0.22486	0.12285
DEMO039	-0.65529	0.23313	-0.61319	-0.50361	0.40778	-0.16115	0.57692	-0.10951	-0.22839	-0.20879
DEMO040	0.05762	0.24348	0.17253	0.28653	0.10035	-0.37327	0.69161	0.82887	0.00245	0.53960
DEMO041	-0.17127	0.30177	0.17898	-0.34024	0.00734	-0.46234	-0.00595	0.36984	0.26577	0.53983
DEMO042	-0.16184	0.17303	0.19941	-0.41493	0.40845	-0.04172	0.61934	-0.14967	0.39586	0.42614
DEMO043	-1.09057	-0.24287	0.00821	-0.33806	0.36234	0.03249	0.76178	-0.20540	0.24368	0.08666
DEMO044	0.10291	-0.18515	-0.06950	-0.33360	0.16392	-1.36250	0.88333	0.32489	0.59583	-0.10504
DEMO045	0.25543	0.59713	0.08240	-0.76594	0.04621	-1.13224	0.36911	0.11204	0.67547	0.59826
DEMO046	-0.47951	1.21690	0.97459	0.90025	0.31095	-0.48538	0.82243	0.75813	0.30512	-0.35589
DEMO047	-0.44275	0.62569	0.85347	-0.01807	0.20325	-0.17087	0.69860	-0.10865	0.66530	0.82706
DEMO048	-0.40983	-0.07463	0.93467	-0.10052	0.67851	-0.19680	0.16413	-0.41906	0.67420	-0.06906
DEMO049	-0.41372	0.32643	0.54396	-0.41851	-0.02719	-1.02215	0.01329	0.84198	0.81635	0.04030
DEMO050	0.15707	0.86967	-0.32087	-0.33282	0.16862	-0.11632	0.35984	-0.54309	0.00017	-0.41678
DEMO051	-0.34832	0.28890	1.29923	-0.37828	0.51330	0.37613	0.37609	-0.26347	0.44051	1.10164
DEMO052	-0.02893	0.42697	0.92966	-0.25808	0.78325	-1.04551	0.12513	0.00860	0.42106	0.33918
DEMO053	-0.14435	1.33888	-0.49675	-0.40241	0.43918	0.08287	0.02030	-0.03076	0.49913	-0.36006
DEMO054	0.11558	0.19801	0.05727	-0.23688	0.29537	0.64982	0.75229	-0.91268	0.29612	-0.28404
DEMO055	-0.29881	0.36601	0.67320	0.01960	0.04483	0.19865	0.19696	0.13765	1.04894	-0.33948
DEMO056	-0.50152	0.03547	-0.63961	-0.27818	0.24721	0.13640	0.17901	-0.11444	0.08672	0.90466
DEMO057	-0.58191	0.35671	1.05782	0.29017	-0.35169	-0.27581	0.51711	-0.41751	0.10193	0.35603
DEMO058	-0.00923	0.09391	0.16943	0.07465	0.90029	0.21605	0.49338	0.19237	0.18480	0.60778
DEMO059	-0.19709	0.18542	0.22247	0.19272	0.54522	-0.83118	0.35920	0.57043	-0.04594	0.55998
DEMO060	-0.58840	1.04800	-0.02829	0.05545	1.10457	-0.99047	0.75790	0.10526	0.50644	0.09299

